Variable Name,cat for thesis,lag,cat lag
UEMP15OV_lm,2,2lm,lm
UEMP15T26_lm,2,2lm,lm
UEMP27OV_lm,2,2lm,lm
CLAIMSx_lm,2,2lm,lm
PAYEMS_lm,2,2lm,lm
USGOOD_lm,2,2lm,lm
CES1021000001_lm,2,2lm,lm
USCONS_lm,2,2lm,lm
MANEMP_lm,2,2lm,lm
DMANEMP_lm,2,2lm,lm
NDMANEMP_lm,2,2lm,lm
SRVPRD_lm,2,2lm,lm
USTPU_lm,2,2lm,lm
USWTRADE_lm,2,2lm,lm
USTRADE_lm,2,2lm,lm
USFIRE_lm,2,2lm,lm
USGOVT_lm,2,2lm,lm
CES0600000007_lm,2,2lm,lm
AWOTMAN_lm,2,2lm,lm
AWHMAN_lm,2,2lm,lm
HOUST_lm,3,3lm,lm
HOUSTNE_lm,3,3lm,lm
HOUSTMW_lm,3,3lm,lm
HOUSTS_lm,3,3lm,lm
HOUSTW_lm,3,3lm,lm
PERMIT_lm,3,3lm,lm
PERMITNE_lm,3,3lm,lm
PERMITMW_lm,3,3lm,lm
PERMITS_lm,3,3lm,lm
PERMITW_lm,3,3lm,lm
ACOGNO_lm,4,4lm,lm
AMDMNOx_lm,4,4lm,lm
ANDENOx_lm,4,4lm,lm
AMDMUOx_lm,4,4lm,lm
BUSINVx_lm,4,4lm,lm
ISRATIOx_lm,4,4lm,lm
M1SL_lm,5,5lm,lm
M2SL_lm,5,5lm,lm
M2REAL_lm,5,5lm,lm
BOGMBASE_lm,5,5lm,lm
TOTRESNS_lm,5,5lm,lm
NONBORRES_lm,5,5lm,lm
BUSLOANS_lm,5,5lm,lm
REALLN_lm,5,5lm,lm
NONREVSL_lm,5,5lm,lm
CONSPI_lm,5,5lm,lm
S&P 500_lm,8,8lm,lm
S&P: indust_lm,8,8lm,lm
S&P div yield_lm,8,8lm,lm
S&P PE ratio_lm,8,8lm,lm
FEDFUNDS_lm,6,6lm,lm
CP3Mx_lm,6,6lm,lm
TB3MS_lm,6,6lm,lm
TB6MS_lm,6,6lm,lm
GS1_lm,6,6lm,lm
GS5_lm,6,6lm,lm
GS10_lm,6,6lm,lm
AAA_lm,6,6lm,lm
BAA_lm,6,6lm,lm
COMPAPFFx_lm,6,6lm,lm
TB3SMFFM_lm,6,6lm,lm
TB6SMFFM_lm,6,6lm,lm
T1YFFM_lm,6,6lm,lm
T5YFFM_lm,6,6lm,lm
T10YFFM_lm,6,6lm,lm
AAAFFM_lm,6,6lm,lm
BAAFFM_lm,6,6lm,lm
TWEXAFEGSMTHx_lm,6,6lm,lm
EXSZUSx_lm,6,6lm,lm
EXJPUSx_lm,6,6lm,lm
EXUSUKx_lm,6,6lm,lm
EXCAUSx_lm,6,6lm,lm
WPSFD49207_lm,7,7lm,lm
WPSFD49502_lm,7,7lm,lm
WPSID61_lm,7,7lm,lm
WPSID62_lm,7,7lm,lm
OILPRICEx_lm,7,7lm,lm
PPICMM_lm,7,7lm,lm
CPIAUCSL_lm,7,7lm,lm
CPIAPPSL_lm,7,7lm,lm
CPITRNSL_lm,7,7lm,lm
CPIMEDSL_lm,7,7lm,lm
CUSR0000SAC_lm,7,7lm,lm
CUSR0000SAD_lm,7,7lm,lm
CUSR0000SAS_lm,7,7lm,lm
CPIULFSL_lm,7,7lm,lm
CUSR0000SA0L2_lm,7,7lm,lm
CUSR0000SA0L5_lm,7,7lm,lm
PCEPI_lm,7,7lm,lm
DDURRG3M086SBEA_lm,7,7lm,lm
DNDGRG3M086SBEA_lm,7,7lm,lm
DSERRG3M086SBEA_lm,7,7lm,lm
CES0600000008_lm,2,2lm,lm
CES2000000008_lm,2,2lm,lm
CES3000000008_lm,2,2lm,lm
UMCSENTx_lm,9,9lm,lm
DTCOLNVHFNM_lm,5,5lm,lm
DTCTHFNM_lm,5,5lm,lm
INVEST_lm,5,5lm,lm
VIXCLSx_lm,9,9lm,lm
CSCICP03USM665S_lm,9,9lm,lm
BSCICP03USM665S_lm,9,9lm,lm
BSCICP02USM460S_lm,9,9lm,lm
CSINFT02USM460S_lm,9,9lm,lm
BSCURT02USM160S_lm,9,9lm,lm
BSPRTE02USM460S_lm,9,9lm,lm
BSOITE02USM460S_lm,9,9lm,lm
CATEPUINDXM,9,9lm,lm
EMVOVERALLEMV,9,9lm,lm
CATEPUINDXM_lm,9,9lm,lm
EMVOVERALLEMV_lm,9,9lm,lm
